@relation 'cwurDataRaw-weka.filters.unsupervised.attribute.Reorder-Rfirst-11,13-last,12-weka.filters.unsupervised.attribute.Remove-R1-2,11-15'

@attribute PrizeWinningAlumni numeric
@attribute AlumniCEOPositions numeric
@attribute FacultyPrizeScore numeric
@attribute PublicationScore numeric
@attribute HQPublicationScore numeric
@attribute InfluenceScore numeric
@attribute PatentScore numeric
@attribute SchoolType {Engineering,Party,Liberal_Arts,Ivy_League,State}
@attribute MidMedian numeric

@data
1,1,1,1,1,1,3,Ivy_League,124000
3,11,2,15,2,2,1,Engineering,126000
13,6,9,13,13,11,4,Ivy_League,107000
5,21,6,10,4,4,29,State,112000
4,15,3,72,25,24,225,Ivy_League,131000
12,18,14,24,15,25,11,Ivy_League,110000
10,26,11,18,8,35,49,Ivy_League,126000
6,328,7,53,9,19,13,Engineering,123000
20,4,28,8,18,14,14,Ivy_League,120000
28,27,13,6,14,8,9,State,101000
36,567,19,16,5,15,17,State,101000
75,36,25,48,50,26,38,Party,93900
124,69,86,32,32,19,41,State,81500
209,20,126,94,74,88,97,State,103000
40,19,218,246,167,136,63,Ivy_League,134000
54,227,59,29,33,35,62,State,99600
80,67,31,96,38,45,133,State,97600
214,276,96,37,73,46,5,Party,87900
25,160,23,211,225,78,165,Engineering,111000
133,280,29,111,59,46,77,Party,95000
139,55,87,74,39,31,235,State,86100
97,105,67,97,65,101,19,State,83200
68,210,43,58,47,39,280,Party,95000
135,60,218,107,152,78,36,Engineering,106000
64,43,73,121,67,76,200,Ivy_League,109000
227,567,44,78,51,68,162,State,96700
367,455,66,143,85,76,21,Party,84100
112,162,218,88,123,65,136,State,85300
186,567,58,173,84,93,96,State,93000
233,296,167,103,83,115,121,Party,83900
367,567,218,141,124,128,130,State,70100
175,567,100,243,49,115,183,State,84100
367,567,218,223,170,82,100,State,81600
367,42,218,310,257,511,156,State,79900
286,186,109,151,178,82,339,State,84600
367,183,218,189,258,125,117,State,76100
228,91,218,212,161,161,127,State,81600
93,188,172,181,132,234,82,Party,86000
367,541,218,126,196,287,129,State,81700
247,567,218,209,113,161,194,State,81300
296,259,218,168,193,197,186,State,88800
251,228,218,157,206,182,161,State,83300
367,334,218,200,184,136,411,Party,73000
283,152,218,201,264,234,181,Engineering,95400
367,403,150,264,253,321,206,State,68400
189,239,218,263,148,161,389,State,83300
332,290,218,182,216,321,447,State,78300
318,337,135,272,304,234,120,State,84500
137,142,218,402,346,182,210,Engineering,110000
367,567,218,445,376,197,254,State,70700
198,256,218,357,288,368,397,State,82700
346,567,218,378,217,161,729,State,78400
154,61,218,983,506,812,871,Liberal_Arts,97900
130,229,218,373,320,212,294,State,79000
367,318,79,531,273,234,596,Party,78300
248,204,218,467,302,264,509,State,85200
367,81,218,668,601,321,690,Engineering,106000
367,501,218,381,386,511,159,State,71700
367,567,98,450,371,264,526,State,86900
328,178,218,441,409,428,617,Party,78100
367,364,218,542,382,264,708,State,82900
205,174,218,590,472,812,224,Party,73400
367,230,218,534,316,321,380,State,78700
274,114,218,784,713,511,861,Engineering,97800
367,535,218,433,497,645,510,State,86000
367,405,218,449,484,511,360,State,74000
367,432,218,711,585,321,871,State,79500
367,400,218,656,653,645,166,State,70300
367,232,218,472,569,368,425,State,84700
367,477,218,575,323,287,744,State,77500
166,352,218,564,414,368,371,State,78700
367,567,218,610,436,511,498,State,62600
208,533,218,591,512,812,588,State,72500
367,567,218,618,555,812,220,State,75900
367,567,218,496,508,428,585,State,75500
367,265,218,664,385,511,472,State,85300
155,220,218,605,608,645,566,State,79300
367,567,218,492,532,511,462,State,80800
367,284,218,669,661,321,621,State,80800
367,263,218,710,593,812,853,State,95900
367,567,218,664,417,511,469,State,82000
367,245,218,800,548,812,484,State,70900
367,448,218,640,473,812,861,State,71600
367,431,218,905,643,287,587,Engineering,84600
271,567,218,864,572,511,871,State,86400
367,567,218,832,515,645,871,State,91800
367,382,218,782,640,511,394,State,69700
367,394,218,699,685,812,639,State,67500
367,310,218,741,662,511,593,State,74000
367,373,218,910,705,645,824,State,72100
367,567,218,855,741,812,714,State,71100
367,567,218,917,731,812,606,State,80600
367,442,218,910,838,812,706,State,72100
