@relation cwurDataRaw

@attribute University string
@attribute GlobalRank numeric
@attribute PrizeWinningAlumni numeric
@attribute AlumniCEOPositions numeric
@attribute FacultyPrizeScore numeric
@attribute PublicationScore numeric
@attribute HQPublicationScore numeric
@attribute InfluenceScore numeric
@attribute PatentScore numeric
@attribute SchoolType {Engineering,Party,Liberal_Arts,Ivy_League,State}
@attribute StartingMedian numeric
@attribute MidMedian numeric
@attribute Mid10th numeric
@attribute Mid25th numeric
@attribute Mid75th numeric
@attribute Mid90th numeric
@data
Harvard_University,1,1,1,1,1,1,1,3,Ivy_League,63400.00,124000.00,54800.00,86200.00,179000.00,288000.00
Massachusetts_Institute_of_Technology,3,3,11,2,15,2,2,1,Engineering,72200.00,126000.00,76800.00,99200.00,168000.00,220000.00
Columbia_University,6,13,6,9,13,13,11,4,Ivy_League,59400.00,107000.00,50300.00,71900.00,161000.00,241000.00
University_of_California_Berkeley,7,5,21,6,10,4,4,29,State,59900.00,112000.00,59500.00,81000.00,149000.00,201000.00
Princeton_University,9,4,15,3,72,25,24,225,Ivy_League,66500.00,131000.00,68900.00,100000.00,190000.00,261000.00
Cornell_University,10,12,18,14,24,15,25,11,Ivy_League,60300.00,110000.00,56800.00,79800.00,160000.00,210000.00
Yale_University,11,10,26,11,18,8,35,49,Ivy_League,59100.00,126000.00,58000.00,80600.00,198000.00,326000.00
California_Institute_of_Technology,12,6,328,7,53,9,19,13,Engineering,75500.00,123000.00,?,104000.00,161000.00,?
University_of_Pennsylvania,14,20,4,28,8,18,14,14,Ivy_League,60900.00,120000.00,55900.00,79200.00,192000.00,282000.00
University_of_California_Los_Angeles,15,28,27,13,6,14,8,9,State,52600.00,101000.00,51300.00,72500.00,139000.00,193000.00
University_of_California_San_Diego,21,36,567,19,16,5,15,17,State,51100.00,101000.00,51700.00,75400.00,131000.00,177000.00
University_of_Texas_at_Austin,30,75,36,25,48,50,26,38,Party,49700.00,93900.00,50100.00,67400.00,129000.00,188000.00
University_of_North_Carolina_at_Chapel_Hill,40,124,69,86,32,32,19,41,State,42900.00,81500.00,43400.00,57500.00,117000.00,155000.00
University_of_Virginia,41,209,20,126,94,74,88,97,State,52700.00,103000.00,52200.00,71800.00,146000.00,215000.00
Dartmouth_College,44,40,19,218,246,167,136,63,Ivy_League,58000.00,134000.00,63100.00,90200.00,234000.00,321000.00
University_of_California_Davis,53,54,227,59,29,33,35,62,State,52300.00,99600.00,52000.00,71600.00,135000.00,202000.00
University_of_Colorado_Boulder,54,80,67,31,96,38,45,133,State,47100.00,97600.00,51600.00,69000.00,128000.00,187000.00
University_of_Florida,60,214,276,96,37,73,46,5,Party,47100.00,87900.00,45400.00,62900.00,120000.00,172000.00
Carnegie_Mellon_University,61,25,160,23,211,225,78,165,Engineering,61800.00,111000.00,63300.00,80100.00,150000.00,209000.00
University_of_California_Santa_Barbara,64,133,280,29,111,59,46,77,Party,50500.00,95000.00,51300.00,71200.00,129000.00,173000.00
University_of_Arizona,68,139,55,87,74,39,31,235,State,47500.00,86100.00,44800.00,61700.00,117000.00,160000.00
University_of_Utah,70,97,105,67,97,65,101,19,State,45400.00,83200.00,43000.00,58400.00,116000.00,148000.00
University_of_Maryland_College_Park,72,68,210,43,58,47,39,280,Party,52000.00,95000.00,50400.00,68300.00,126000.00,166000.00
Georgia_Institute_of_Technology,80,135,60,218,107,152,78,36,Engineering,58300.00,106000.00,67200.00,85200.00,137000.00,183000.00
Brown_University,83,64,43,73,121,67,76,200,Ivy_League,56200.00,109000.00,55400.00,74400.00,159000.00,228000.00
